i,n,10138,defaulted,Agriculture,Kenya,M,1200,lender
i,n,10139,defaulted,Agriculture,Kenya,F,1700,lender
i,n,10140,defaulted,Agriculture,Kenya,F,1800,lender
i,n,10141,defaulted,Clothing,Kenya,F,1200,lender
i,n,10142,defaulted,Retail,Kenya,F,500,lender
i,n,10143,defaulted,Agriculture,Kenya,M,1600,lender
i,n,10144,defaulted,Transportation,Kenya,M,1800,lender
i,n,10145,defaulted,Services,Kenya,M,1800,lender
i,n,10146,defaulted,Food,Kenya,F,1500,lender
i,n,10147,defaulted,Food,Kenya,F,1500,lender
i,n,10148,defaulted,Services,Kenya,F,1500,lender
i,n,10149,defaulted,Services,Kenya,F,1500,lender
i,n,10150,defaulted,Clothing,Kenya,M,900,lender
i,n,10151,defaulted,Food,Kenya,M,1600,lender
i,n,10152,defaulted,Clothing,Kenya,F,1600,lender
i,n,10153,defaulted,Transportation,Kenya,M,2000,lender
i,n,10154,defaulted,Food,Kenya,M,1000,lender
i,n,10155,defaulted,Agriculture,Kenya,M,1850,lender
i,n,10156,defaulted,Agriculture,Kenya,F,750,lender
i,n,10157,defaulted,Agriculture,Kenya,F,300,lender
i,n,10158,defaulted,Clothing,Kenya,F,300,lender
i,n,10159,defaulted,Agriculture,Kenya,F,2000,lender
i,n,10160,defaulted,Construction,Kenya,F,450,lender
i,n,10161,defaulted,Agriculture,Kenya,F,450,lender
i,n,10162,defaulted,Agriculture,Kenya,F,450,lender
i,n,10163,defaulted,Retail,Kenya,F,75,lender
i,n,10164,defaulted,Services,Kenya,F,75,lender
i,n,10165,defaulted,Clothing,Kenya,F,75,lender
i,n,10166,defaulted,Services,Kenya,F,75,lender
i,n,10167,defaulted,Agriculture,Kenya,F,300,lender
i,n,10168,defaulted,Retail,Kenya,F,450,lender
i,n,10169,defaulted,Agriculture,Kenya,M,2000,lender
i,n,10170,defaulted,Agriculture,Kenya,F,300,lender
i,n,10171,defaulted,Agriculture,Kenya,F,300,lender
i,n,10172,defaulted,Health,Kenya,F,450,lender
i,n,10173,defaulted,Agriculture,Kenya,F,300,lender
